Timestamp,Temperature,Humidity
21,27.60,71.00
10044,27.60,71.00
20067,27.60,71.00
30091,27.60,71.00
40115,27.70,71.00
50138,28.00,70.00
60161,28.00,70.00
70184,28.00,70.00
80208,28.00,70.00
90231,27.60,71.00
100254,27.60,71.00
110277,27.60,71.00
120302,27.60,71.00
130325,27.60,71.00
140348,27.60,71.00
150371,27.30,71.00
160395,27.10,71.00
170420,27.10,71.00
180443,27.10,72.00
190466,27.10,72.00
200488,27.10,72.00
210511,27.10,72.00
220534,26.70,72.00
230558,26.70,73.00
240583,26.70,73.00
250606,26.70,73.00
260629,26.70,73.00
270652,26.70,73.00
280677,26.70,73.00
290700,26.70,73.00
300723,26.70,73.00
310746,26.70,73.00
320771,26.70,73.00
330793,26.70,73.00
340816,26.20,73.00
350839,26.20,73.00
360862,26.20,73.00
370885,26.20,74.00
380909,26.20,74.00
390934,26.20,74.00
400958,26.20,74.00
410981,26.20,74.00
421004,26.20,75.00
431027,26.20,75.00
441052,26.20,75.00
451076,26.20,76.00
461100,26.00,76.00
471122,25.90,76.00
481145,25.80,76.00
491168,25.80,76.00
501193,25.80,77.00
511216,25.80,77.00
521239,25.80,77.00
531262,25.80,77.00
541285,25.80,77.00
551310,25.80,77.00
561333,25.80,77.00
571356,25.80,77.00
581379,25.80,77.00
591404,25.80,77.00
601426,25.80,77.00
611449,25.80,77.00
621472,25.80,77.00
631495,25.80,77.00
641520,25.80,77.00
651543,25.80,77.00
661566,25.80,77.00
671589,25.80,77.00
681614,25.80,77.00
691637,25.80,77.00
701660,25.80,77.00
711683,25.80,77.00
721705,25.80,77.00
731730,25.80,77.00
741753,25.80,77.00
751776,25.80,77.00
761799,25.80,77.00
771824,25.80,77.00
781847,25.80,77.00
791870,25.80,77.00
801893,25.80,77.00
811917,25.80,77.00
821942,25.80,77.00
831965,25.80,77.00
841988,25.80,77.00
852011,25.80,77.00
862035,25.80,77.00
872058,25.80,77.00
882081,25.80,77.00
892104,25.80,77.00
902129,25.80,77.00
912152,25.80,77.00
922175,25.80,77.00
932198,25.80,77.00
942221,25.80,77.00
952246,25.80,78.00
962269,25.80,78.00
972292,25.80,78.00
982317,25.80,78.00
992339,25.80,78.00
1002362,25.80,78.00
1012385,25.80,78.00
1022410,25.80,78.00
1032433,25.80,78.00
1042456,25.80,78.00
1052481,25.80,78.00
1062504,25.80,78.00
1072527,25.80,78.00
1082552,25.80,78.00
1092575,25.80,78.00
1102598,25.80,78.00
1112621,25.80,78.00
1122644,25.80,78.00
1132667,25.80,78.00
1142690,25.80,78.00
1152714,25.80,78.00
1162737,25.80,78.00
1172760,25.80,78.00
1182785,25.80,78.00
1192808,25.80,78.00
1202831,25.80,78.00
1212856,25.80,78.00
1222879,25.80,78.00
1232902,25.80,78.00
1242926,25.80,79.00
1252951,25.80,79.00
1262973,25.80,79.00
1272996,25.80,79.00
1283019,25.80,79.00
1293044,25.80,79.00
1303067,25.80,79.00
1313090,25.80,79.00
1323113,25.80,79.00
1333138,25.80,79.00
1343161,25.80,79.00
1353184,25.80,79.00
1363207,25.80,79.00
1373230,25.80,79.00
1383255,25.80,79.00
1393277,25.80,79.00
1403300,25.80,79.00
1413323,25.80,79.00
1423347,25.80,79.00
1433372,25.80,79.00
1443395,25.80,79.00
1453418,25.80,79.00
1463441,25.80,79.00
1473466,25.80,79.00
1483489,25.80,79.00
1493512,25.80,79.00
1503535,25.80,79.00
1513559,25.80,79.00
1523584,25.80,79.00
1533606,25.80,79.00
1543629,25.80,79.00
1553652,25.80,79.00
1563677,25.80,79.00
1573700,25.80,79.00
1583723,25.80,79.00
1593746,25.80,79.00
1603771,25.80,79.00
1613794,25.80,79.00
1623817,25.80,79.00
1633840,25.80,80.00
1643863,25.80,80.00
1653886,25.80,80.00
1663910,25.80,80.00
1673935,25.80,80.00
1683958,25.80,80.00
1693981,25.80,80.00
1704004,25.80,79.00
1714027,25.80,79.00
1724052,25.80,79.00
1734075,25.80,79.00
1744098,25.80,79.00
1754121,25.80,79.00
1764145,25.80,79.00
1774170,25.80,79.00
1784193,25.80,79.00
1794215,25.80,79.00
1804238,25.80,79.00
1814263,25.80,79.00
1824286,25.80,79.00
1834309,25.80,79.00
1844332,25.80,79.00
1854356,25.80,79.00
1864381,25.80,79.00
1874404,25.80,79.00
1884427,25.80,79.00
1894450,25.80,79.00
1904475,25.80,79.00
1914498,25.80,79.00
1924520,25.80,79.00
1934543,25.80,79.00
1944567,25.80,79.00
1954592,25.80,79.00
1964615,25.80,79.00
1974638,25.80,79.00
1984661,25.80,79.00
1994686,25.80,79.00
2004709,25.80,79.00
2014732,25.80,79.00
2024755,25.80,79.00
2034779,25.80,79.00
2044804,25.80,79.00
2054827,25.80,79.00
